,Private,Apps,Accept,Enroll,Room.Board,Books,Personal,S.F.Ratio,Grad.Rate
Abilene Christian University,Yes,1660,1232,721,3300,450,2200,18.1,60
Adelphi University,Yes,2186,1924,512,6450,750,1500,12.2,56
Adrian College,Yes,1428,1097,336,3750,400,1165,12.9,54
Agnes Scott College,Yes,417,349,137,5450,450,875,7.7,59
Alaska Pacific University,Yes,193,146,55,4120,800,1500,11.9,15
Albertson College,Yes,587,479,158,3335,500,675,9.4,55
Albertus Magnus College,Yes,353,340,103,5720,500,1500,11.5,63
Albion College,Yes,1899,1720,489,4826,450,850,13.7,73
Albright College,Yes,1038,839,227,4400,300,500,11.3,80
Alderson-Broaddus College,Yes,582,498,172,3380,660,1800,11.5,52
Alfred University,Yes,1732,1425,472,5406,500,600,11.3,73
Allegheny College,Yes,2652,1900,484,4440,400,600,9.9,76
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,4785,600,1000,13.3,74
Alma College,Yes,1267,1080,385,4552,400,400,15.3,68
Alverno College,Yes,494,313,157,3640,650,2449,11.1,55
American International College,Yes,1420,1093,220,4780,450,1400,14.7,69
Amherst College,Yes,4302,992,418,5300,660,1598,8.4,100
Anderson University,Yes,1216,908,423,3520,550,1100,12.1,59
Andrews University,Yes,1130,704,322,3090,900,1320,11.5,46
Angelo State University,No,3540,2001,1016,3592,500,2000,23.1,34
Antioch University,Yes,713,661,252,3336,400,1100,11.3,48
Appalachian State University,No,7313,4664,1910,2540,96,2000,18.3,70
Aquinas College,Yes,619,516,219,4124,350,1615,12.7,65
Arizona State University Main campus,No,12809,10308,3761,4850,700,2100,18.9,48
Arkansas College (Lyon College),Yes,708,334,166,3922,500,800,12.6,54
Arkansas Tech University,No,1734,1729,951,2650,450,1000,19.6,48
Assumption College,Yes,2135,1700,491,5920,500,500,13.8,88
Auburn University-Main Campus,No,7548,6791,3070,3933,600,1908,16.7,69
Augsburg College,Yes,662,513,257,4372,540,950,12.8,58
Augustana College IL,Yes,1879,1658,497,4173,540,821,12.7,71
Augustana College,Yes,761,725,306,3244,600,1021,10.4,69
Austin College,Yes,948,798,295,4342,400,1150,13,71
Averett College,Yes,627,556,172,4135,750,1350,22.4,48
Baker University,Yes,602,483,206,4100,400,2250,11,65
Baldwin-Wallace College,Yes,1690,1366,662,4410,1000,1000,17.6,85
Barat College,Yes,261,192,111,4300,500,500,9.7,71
Bard College,Yes,1910,838,285,6206,750,750,10.4,79
Barnard College,Yes,2496,1402,531,8124,600,850,10.3,91
Barry University,Yes,990,784,279,5360,600,1800,12.6,72
Baylor University,Yes,6075,5349,2367,3920,600,1346,18.5,72
Beaver College,Yes,1163,850,348,5400,400,800,12.2,73
Bellarmine College,Yes,807,707,308,2950,750,1290,13.1,84
Belmont Abbey College,Yes,632,494,129,4850,300,2480,13.2,52
Belmont University,Yes,1220,974,481,3664,650,900,11.1,49
Beloit College,Yes,1320,923,284,3616,355,715,11.1,69
Bemidji State University,No,1208,877,546,2700,660,1800,19.6,46
Benedictine College,Yes,632,620,222,3850,350,250,14.1,58
Bennington College,Yes,519,327,114,4100,600,500,10.1,55
Bentley College,Yes,3466,2330,640,5510,630,850,17.5,82
Berry College,Yes,1858,1221,480,3940,350,2375,16.3,63
Bethany College,Yes,878,816,200,3363,550,1700,11.6,48
Bethel College KS,Yes,202,184,122,3580,500,1400,8.8,56
Bethel College,Yes,502,384,104,2900,600,800,11.7,35
Bethune Cookman College,Yes,1646,1150,542,3396,650,2500,13.8,58
Birmingham-Southern College,Yes,805,588,287,4325,400,900,14,72
Blackburn College,Yes,500,336,156,2700,500,1000,14.3,51
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,2948,500,1680,18,75
Bluefield College,Yes,377,358,181,4350,450,1500,17.8,53
Bluffton College,Yes,692,514,209,3990,400,900,13.3,58
Boston University,Yes,20192,13007,3810,6810,475,1025,11.9,72
Bowdoin College,Yes,3356,1019,418,5885,1495,875,11.2,96
Bowling Green State University,No,9251,7333,3076,3352,600,1700,21.1,67
Bradford College,Yes,443,330,151,6270,500,900,10.2,46
Bradley University,Yes,3767,3414,1061,4440,2000,1522,14.4,85
Brandeis University,Yes,4186,2743,740,6750,410,1000,9.8,84
Brenau University,Yes,367,274,158,5879,500,700,13.7,49
Brewton-Parker College,Yes,1436,1228,1202,2370,500,2000,12.6,18
Briar Cliff College,Yes,392,351,155,3597,600,1500,13.1,58
Bridgewater College,Yes,838,673,292,4725,560,875,13.2,82
Brigham Young University at Provo,Yes,7365,5402,4615,3580,860,1220,20.5,33
